Sample 489: No. iterations = 512, Error = 0.00198451
Sample 490: No. iterations = 512, Error = 0.00295687
Sample 491: No. iterations = 388, Error = 0.000998451
Sample 492: No. iterations = 512, Error = 0.00184992
Sample 493: No. iterations = 1, Error = 0.000463368
Sample 494: No. iterations = 512, Error = 0.00210276
Sample 495: No. iterations = 512, Error = 0.00156005
Sample 496: No. iterations = 512, Error = 0.00118691
Sample 497: No. iterations = 512, Error = 0.00351961
Sample 498: No. iterations = 512, Error = 0.00230763
Sample 499: No. iterations = 512, Error = 0.00179592
Sample 500: No. iterations = 512, Error = 0.00253118
Sample 501: No. iterations = 512, Error = 0.00374236
Sample 502: No. iterations = 512, Error = 0.00296457
Sample 503: No. iterations = 512, Error = 0.00290986
Sample 504: No. iterations = 512, Error = 0.00291806
Sample 505: No. iterations = 512, Error = 0.00127442
Sample 506: No. iterations = 479, Error = 0.00099935
Sample 507: No. iterations = 512, Error = 0.00112202
Sample 508: No. iterations = 512, Error = 0.00131686
Sample 509: No. iterations = 512, Error = 0.00162974
Sample 510: No. iterations = 512, Error = 0.50028
Sample 511: No. iterations = 1, Error = 0.00044403
Sample 512: No. iterations = 512, Error = 0.00216403
Sample 513: No. iterations = 512, Error = 0.00188386
Sample 514: No. iterations = 512, Error = 0.0012939
Sample 515: No. iterations = 1, Error = 0.000597818
Sample 516: No. iterations = 512, Error = 0.00135363
Sample 517: No. iterations = 444, Error = 0.000998519
Sample 518: No. iterations = 512, Error = 0.00182376
Sample 519: No. iterations = 512, Error = 0.00105798
Sample 520: No. iterations = 512, Error = 0.0025586
Sample 521: No. iterations = 428, Error = 0.000998432
Sample 522: No. iterations = 362, Error = 0.000999638
Sample 523: No. iterations = 1, Error = 3.15902e-05
Sample 524: No. iterations = 512, Error = 0.00113753
Sample 525: No. iterations = 512, Error = 0.00121789
Sample 526: No. iterations = 512, Error = 0.00132542
Sample 527: No. iterations = 354, Error = 0.000998326
Sample 528: No. iterations = 512, Error = 0.00126824
Sample 529: No. iterations = 512, Error = 0.0024535
Sample 530: No. iterations = 512, Error = 0.00172133
Sample 531: No. iterations = 512, Error = 0.00183945
Sample 532: No. iterations = 512, Error = 0.0024558
Sample 533: No. iterations = 512, Error = 0.00213618
Sample 534: No. iterations = 512, Error = 0.00162682
Sample 535: No. iterations = 512, Error = 0.00165208
Sample 536: No. iterations = 512, Error = 0.00124773
Sample 537: No. iterations = 512, Error = 0.00122656
Sample 538: No. iterations = 512, Error = 0.00147469
Sample 539: No. iterations = 1, Error = 4.06975e-05
Sample 540: No. iterations = 512, Error = 0.00131269
Sample 541: No. iterations = 512, Error = 0.500524
Sample 542: No. iterations = 418, Error = 0.000999257
Sample 543: No. iterations = 512, Error = 0.00102767
Sample 544: No. iterations = 512, Error = 0.0010653
Sample 545: No. iterations = 512, Error = 0.00163522
Sample 546: No. iterations = 512, Error = 0.00144066
Sample 547: No. iterations = 512, Error = 0.00240923
Sample 548: No. iterations = 512, Error = 0.0011985
Sample 549: No. iterations = 512, Error = 0.00189379
Sample 550: No. iterations = 512, Error = 0.00112
